Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
07/07/2020,EQ,26.05,26.1,25.5,26.05,25.8,25.75,25.73,108.5,5.65,19466396,500774755.9,55306
06/07/2020,EQ,26.4,26.45,25.95,26.15,26.15,26.05,26.06,108.5,5.65,12734350,331872400.6,39049
03/07/2020,EQ,26.5,26.55,25.8,26.25,26.1,26.15,26.09,110.5,5.65,14816009,386479213.2,41157
02/07/2020,EQ,27.3,27.3,26.05,26.9,26.35,26.25,26.55,110.5,5.65,15605957,414300997.1,38191
01/07/2020,EQ,25.75,28.35,25,25.6,26.8,26.9,26.44,110.5,5.65,27490306,726904669,56477
30/06/2020,EQ,26.5,26.6,25.5,26.1,25.6,25.6,25.76,110.5,5.65,16166021,416448500.6,39077
29/06/2020,EQ,26.8,26.9,26,26.75,26.15,26.1,26.23,110.5,5.65,10632406,278849906.7,30951
26/06/2020,EQ,27.2,27.25,26.6,27,26.85,26.75,26.82,114.65,5.65,12130891,325305157.4,34452
25/06/2020,EQ,27.05,27.25,26.55,27.05,27,27,27.01,114.65,5.65,9662127,261007118.9,26461
24/06/2020,EQ,27.8,27.8,27.05,27.55,27.1,27.05,27.43,114.65,5.65,14015494,384378671.5,38172
23/06/2020,EQ,27.8,27.8,27.4,27.75,27.55,27.55,27.55,114.65,5.65,16733550,461075047,42941
22/06/2020,EQ,28.1,28.5,27.35,28,27.75,27.75,27.85,114.65,5.65,19374480,539653316.3,74861
19/06/2020,EQ,28.2,28.3,27.9,28,28,28,28.07,118.35,5.65,9275438,260315407.9,25762
18/06/2020,EQ,27.7,28.2,27.4,27.65,28.1,28,27.91,118.35,5.65,11551012,322349405.2,27872
17/06/2020,EQ,27.35,28.3,27.05,28.4,27.85,27.65,27.85,118.35,5.65,12798061,356469765.6,76556
16/06/2020,EQ,29.5,29.95,27.55,29,28.3,28.4,28.49,118.35,5.65,22459083,639856634.3,51786
15/06/2020,EQ,30,30.8,28.8,29.5,29.05,29,29.54,118.35,5.65,13440399,397085530,38914
