Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
09/07/2020,EQ,4294.35,4300,4258,4263.9,4300,4297.7,4287.73,4802.1,2933,1193,5115256.95,231
08/07/2020,EQ,4300,4300,4225,4213.15,4278.4,4263.9,4256.46,4802.1,2933,1493,6354894.3,244
07/07/2020,EQ,4233.95,4233.95,4203.5,4201.65,4214,4213.15,4213.02,4802.1,2933,2299,9685724.3,193
06/07/2020,EQ,4300,4300,4180.05,4207.75,4206,4201.65,4201.56,4802.1,2933,1255,5272952.3,256
03/07/2020,EQ,4377.1,4503.4,4198,4208.75,4207,4207.75,4207.87,4802.1,2915.05,2402,10107295.85,229
02/07/2020,EQ,4242,4242,4198,4267.7,4210.95,4208.75,4213.9,4802.1,2915.05,2339,9856308.45,336
01/07/2020,EQ,4299.95,4299.95,4253,4244.25,4271,4267.7,4269,4802.1,2915.05,910,3884789.65,206
30/06/2020,EQ,4299.95,4299.95,4201,4230.15,4244,4244.25,4238.72,4802.1,2915.05,1494,6332649.7,241
29/06/2020,EQ,4203.2,4249,4203.2,4209.85,4229.9,4230.15,4231.94,4802.1,2915.05,1509,6385989.95,314
26/06/2020,EQ,4206.4,4216,4180,4206.4,4205,4209.85,4201.63,4802.1,2915.05,509,2138629.45,157
25/06/2020,EQ,4232.75,4265,4195,4232.75,4210,4206.4,4209.39,4802.1,2915.05,745,3135993.85,162
24/06/2020,EQ,4215,4240,4190.3,4190.3,4239.95,4232.75,4219.71,4802.1,2915.05,927,3911668.2,190
23/06/2020,EQ,4151,4199.95,4151,4191.95,4195,4190.3,4185.41,4802.1,2915.05,1132,4737885.25,184
22/06/2020,EQ,4151,4216,4151,4141.9,4186.25,4191.95,4186.13,4802.1,2915.05,1114,4663344.95,251
19/06/2020,EQ,4135,4168.95,4135,4143.3,4144,4141.9,4146.07,4802.1,2872,819,3395627.65,122
18/06/2020,EQ,3972.2,4195,3972.2,4137.75,4145,4143.3,4147.5,4802.1,2872,1193,4947965.05,188
17/06/2020,EQ,4245,4245,4123,4145.75,4138.85,4137.75,4147.65,4802.1,2872,362,1501450.7,148
16/06/2020,EQ,4282.8,4406.4,4101,4118.1,4150,4145.75,4123.19,4802.1,2872,1652,6811511.15,222
15/06/2020,EQ,4580,4580,4111.15,4138.6,4117,4118.1,4154.57,4802.1,2872,1217,5056107.75,271
12/06/2020,EQ,4298,4504.6,4116.5,4132.7,4153.6,4138.6,4143.64,4802.1,2836.1,1040,4309381.25,226
11/06/2020,EQ,4150,4178.5,4101.5,4085.7,4132,4132.7,4135.83,4802.1,2836.1,1220,5045712.75,256
10/06/2020,EQ,4115.85,4115.85,4070,4078.55,4080.05,4085.7,4096.78,4802.1,2836.1,464,1900907.5,161
09/06/2020,EQ,4047,4083.4,4047,4047.85,4071,4078.55,4064.4,4802.1,2836.1,536,2178519.45,113
08/06/2020,EQ,4061.3,4066.5,4025.05,4083.05,4045,4047.85,4042.59,4802.1,2836.1,1152,4657058.3,213
05/06/2020,EQ,4052.1,4090,4052.1,4055.45,4087,4083.05,4070.73,4802.1,2825.1,587,2389521.35,151
04/06/2020,EQ,4066.05,4066.9,4040,4066.35,4065.5,4055.45,4050.7,4802.1,2825.1,1577,6387948.45,199
03/06/2020,EQ,4082.45,4082.5,4022.25,4099.7,4068.9,4066.35,4057.49,4802.1,2825.1,1316,5339651.8,227
02/06/2020,EQ,4092.5,4121,4089.05,4099.55,4100,4099.7,4099.51,4802.1,2825.1,657,2693378.5,153
01/06/2020,EQ,4200,4200,4080.05,4075,4100,4099.55,4103.72,4802.1,2825.1,1074,4407399.15,197
29/05/2020,EQ,4099,4099,4060,4091.6,4075,4075,4076.46,4802.1,2775,1168,4761310.75,170
28/05/2020,EQ,4059.4,4113.4,4055,4041.3,4113.4,4091.6,4084.96,4802.1,2775,1736,7091488.4,254
27/05/2020,EQ,4150,4150,4037.85,4103.3,4043.95,4041.3,4055.47,4802.1,2775,2459,9972390.65,572
26/05/2020,EQ,4140,4149.95,4072.3,4139.05,4114,4103.3,4119.11,4802.1,2775,1130,4654592.9,248
22/05/2020,EQ,4130,4165.7,4062.25,4133.8,4123.35,4139.05,4126.66,4802.1,2751,1429,5896993.2,245
21/05/2020,EQ,4117,4160,4105.5,4169.65,4125.05,4133.8,4136.62,4802.1,2751,937,3876010.65,230
20/05/2020,EQ,4120.85,4180,4120.85,4120.85,4172,4169.65,4169.64,4802.1,2751,581,2422559.55,148
19/05/2020,EQ,4175.05,4193.95,4112,4226,4120,4120.85,4132.32,4802.1,2751,1367,5648882.3,266
18/05/2020,EQ,4194.8,4266,4191,4154.8,4228.1,4226,4226.23,4802.1,2751,2770,11706652.7,457
15/05/2020,EQ,4136,4180,4136,4136.25,4154,4154.8,4156.91,4802.1,2751,2005,8334613.2,296
14/05/2020,EQ,4133,4160,4100,4085.6,4160,4136.25,4122.56,4802.1,2751,1100,4534817.3,207
13/05/2020,EQ,4098.9,4098.9,4051,4098.9,4080,4085.6,4075.87,4802.1,2751,725,2955006.05,223
12/05/2020,EQ,4165,4165,4090.05,4166.8,4097,4098.9,4110.38,4802.1,2751,7254,29816667.5,421
11/05/2020,EQ,4140,4267.85,4092,4138.45,4199.95,4166.8,4133.19,4802.1,2751,2986,12341705.4,427
08/05/2020,EQ,4100,4155,4099.9,4080.35,4126,4138.45,4129.35,4802.1,2751,975,4026116.45,289
07/05/2020,EQ,4120,4149.95,4069.95,4123.15,4077,4080.35,4090.68,4802.1,2751,2043,8357256.45,363
06/05/2020,EQ,4254,4254,4110,4183.65,4123,4123.15,4127.59,4802.1,2751,2338,9650302.3,401
05/05/2020,EQ,4274.5,4323.9,4144.1,4279.55,4192,4183.65,4197.57,4802.1,2751,3440,14439644.65,715
04/05/2020,EQ,4271.7,4319.65,4217.75,4271.7,4276.45,4279.55,4285.72,4802.1,2751,1701,7290011.7,469
30/04/2020,EQ,4215,4315,4190,4219.4,4275,4271.7,4223.89,4802.1,2743,2301,9719170.95,478
29/04/2020,EQ,4246.55,4246.6,4201.65,4217.4,4220.1,4219.4,4221.37,4802.1,2743,957,4039852.15,310
28/04/2020,EQ,4200.05,4247,4190.15,4240.25,4219,4217.4,4219.48,4802.1,2743,1574,6641463.9,392
27/04/2020,EQ,4250,4274,4202.05,4226.3,4224,4240.25,4225.61,4802.1,2743,2299,9714669.3,537
24/04/2020,EQ,4205.9,4248,4172,4205.9,4244,4226.3,4208.09,4802.1,2743,2117,8908530.3,393
23/04/2020,EQ,4247.7,4247.7,4180,4180.3,4205,4205.9,4206.38,4802.1,2743,2729,11479198.9,358
22/04/2020,EQ,4335,4461.3,4151,4208.75,4180,4180.3,4181.45,4802.1,2743,2545,10641795.6,564
21/04/2020,EQ,4298,4333.65,4161.1,4247.8,4214,4208.75,4228.18,4802.1,2743,3716,15711910.7,858
20/04/2020,EQ,4300.15,4377,4202.15,4372.75,4254.9,4247.8,4276.75,4802.1,2743,3106,13283600.1,773
17/04/2020,EQ,4609.5,4742.5,4300.05,4432.25,4356.05,4372.75,4358.06,4802.1,2743,2964,12917288,784
16/04/2020,EQ,4756,4802.1,4300.1,4617.45,4421.5,4432.25,4416.5,4802.1,2743,6476,28601234.4,1588
15/04/2020,EQ,4448.3,4698.35,4200.05,4277.25,4650,4617.45,4563.24,4698.35,2743,3700,16883973.5,1193
13/04/2020,EQ,4049,4300,4049,4049,4300,4277.25,4212.01,4300,2743,2343,9868742.05,540
09/04/2020,EQ,3970,4063,3954,3973.3,4060,4049,3997.88,4116.9,2743,807,3226290.35,242
08/04/2020,EQ,3969.9,3989,3925,3919.55,3983,3973.3,3951.29,4116.9,2743,701,2769851.6,206
07/04/2020,EQ,3927.4,4030,3900,3876.1,3900,3919.55,3971.31,4116.9,2743,2899,11512841.7,591
03/04/2020,EQ,3841,3890,3837.85,3807.85,3868,3876.1,3868.77,4116.9,2743,919,3555400.25,188
01/04/2020,EQ,3852.8,3852.8,3777,3852.8,3812,3807.85,3803.27,4116.9,2743,533,2027141,129
31/03/2020,EQ,4044.2,4044.2,3815,3888.7,3815,3852.8,3864.23,4116.9,2743,694,2681775.8,169
30/03/2020,EQ,3845,3900,3785.6,3808.85,3894,3888.7,3850.28,4116.9,2743,1347,5186326.4,338
27/03/2020,EQ,3657,3845,3657,3658.45,3845,3808.85,3749.91,4116.9,2743,1369,5133627.2,218
26/03/2020,EQ,3690,3725,3650.1,3690.2,3652.1,3658.45,3671.21,4116.9,2743,402,1475826.15,136
25/03/2020,EQ,3685,3730,3660,3653.4,3660,3690.2,3694.99,4116.9,2743,939,3469594.1,193
24/03/2020,EQ,3624.05,3698.95,3576.75,3584.45,3649,3653.4,3628.37,4116.9,2743,1242,4506430.6,188
23/03/2020,EQ,3595.5,3650.2,3411,3595.5,3621,3584.45,3590.84,4116.9,2743,816,2930125.8,251
20/03/2020,EQ,3597,3600,3508.1,3526.75,3599,3595.5,3566.6,4116.9,2743,1210,4315580.2,143
19/03/2020,EQ,3501,3547,3420.1,3562.85,3525,3526.75,3490.01,4116.9,2743,2343,8177086.8,385
18/03/2020,EQ,3530.05,3589,3511.05,3463.05,3560.2,3562.85,3548.41,4116.9,2743,1376,4882614.5,274
17/03/2020,EQ,3562.5,3562.5,3450,3580,3450,3463.05,3482.23,4116.9,2743,1215,4230906.9,269
16/03/2020,EQ,3612,3633.55,3532,3631.55,3580,3580,3590.47,4116.9,2743,1227,4405507.7,277
13/03/2020,EQ,3699.95,3750,3552.05,3792.2,3630,3631.55,3620.22,4116.9,2743,2420,8760933.45,355
12/03/2020,EQ,3770,3798.5,3659.6,3792.85,3785.4,3792.2,3768.77,4116.9,2743,1960,7386783.9,280
11/03/2020,EQ,3839,3915.2,3786.6,3838.4,3791,3792.85,3831.06,4116.9,2743,2538,9723240.1,316
09/03/2020,EQ,4037.7,4116.9,3820,3958.55,3850,3838.4,3902,4116.9,2743,6190,24153361.55,1094
06/03/2020,EQ,3871.7,4116,3825.6,3795.8,3915.6,3958.55,3923.55,4116,2743,5922,23235278,896
05/03/2020,EQ,3800,3812,3780,3800,3799.95,3795.8,3791.23,3849.95,2743,481,1823580.7,94
04/03/2020,EQ,3767.3,3829,3767.3,3693.45,3800,3800,3803.65,3849.95,2743,940,3575434.75,228
03/03/2020,EQ,3700,3701.5,3664.25,3683.45,3692,3693.45,3685.86,3849.95,2743,708,2609590.65,98
02/03/2020,EQ,3685.5,3708.95,3632.5,3722.5,3681.05,3683.45,3667.78,3849.95,2743,1230,4511365.7,300
28/02/2020,EQ,3769.95,3814,3702.25,3724.45,3710.15,3722.5,3735.4,3849.95,2743,1462,5461158.1,254
27/02/2020,EQ,3778.9,3778.95,3717.2,3736.1,3723.1,3724.45,3735.55,3849.95,2743,1447,5405340.4,151
26/02/2020,EQ,3732.5,3773.95,3695,3736.65,3739,3736.1,3739.98,3849.95,2743,1400,5235973.5,231
25/02/2020,EQ,3800,3814,3701.2,3820.45,3744,3736.65,3756.01,3849.95,2743,1346,5055593.5,242
24/02/2020,EQ,3705,3849.95,3705,3647.85,3802,3820.45,3770.4,3849.95,2743,1665,6277713.6,344
20/02/2020,EQ,3650,3659.65,3636.05,3649.5,3638,3647.85,3646.68,3697.95,2702.2,673,2454215.45,111
19/02/2020,EQ,3644,3655,3621,3593.9,3650,3649.5,3639.77,3697.95,2702.2,355,1292120.05,82
18/02/2020,EQ,3596.45,3620,3591,3596.45,3591,3593.9,3600.4,3697.95,2702.2,558,2009024.3,73
17/02/2020,EQ,3600.05,3626.95,3589.05,3589.8,3589.05,3596.45,3608.47,3697.95,2702.2,370,1335135.2,89
14/02/2020,EQ,3585,3600,3581.05,3589.8,3585.05,3589.8,3592.18,3697.95,2702.2,227,815424.5,68
13/02/2020,EQ,3571.5,3594.5,3571.5,3570.25,3589.8,3589.8,3586.87,3697.95,2702.2,164,588246.2,59
12/02/2020,EQ,3565.05,3582.75,3552,3572.45,3570.95,3570.25,3565.04,3697.95,2702.2,135,481280.85,49
11/02/2020,EQ,3597.9,3597.9,3550,3577.8,3565,3572.45,3571.49,3697.95,2702.2,461,1646455.1,114
10/02/2020,EQ,3562,3590.95,3538,3555.2,3578,3577.8,3564.31,3697.95,2702.2,390,1390082.35,120
07/02/2020,EQ,3577,3577,3545,3529.3,3562,3555.2,3556.27,3697.95,2702.2,486,1728349.65,80
06/02/2020,EQ,3503.05,3555,3503.05,3518.55,3514.05,3529.3,3530.42,3697.95,2702.2,239,843770.05,64
05/02/2020,EQ,3520,3540,3501.05,3543.6,3510,3518.55,3521.62,3697.95,2702.2,387,1362868,131
04/02/2020,EQ,3550,3560,3536.55,3578.15,3540,3543.6,3549.66,3697.95,2702.2,147,521799.4,54
03/02/2020,EQ,3616,3638.5,3570.1,3587.15,3572.1,3578.15,3581.55,3697.95,2702.2,490,1754960.45,86
01/02/2020,EQ,3695,3695,3574.05,3563.2,3593,3587.15,3584.03,3697.95,2702.2,294,1053703.75,78
31/01/2020,EQ,3573,3584,3536,3568.55,3555,3563.2,3561.34,3697.95,2702.2,700,2492939.25,93
30/01/2020,EQ,3536.05,3573,3536,3531.9,3573,3568.55,3559.59,3697.95,2702.2,1144,4072173.25,103
29/01/2020,EQ,3538,3538,3501.35,3544.05,3524,3531.9,3525.43,3697.95,2702.2,176,620475.75,72
28/01/2020,EQ,3570,3570,3535.05,3562.25,3555.95,3544.05,3550.43,3697.95,2702.2,233,827250.45,81
27/01/2020,EQ,3550,3578.8,3532.05,3506,3551,3562.25,3557.31,3697.95,2702.2,897,3190905.5,204
24/01/2020,EQ,3516.05,3523.95,3506,3506.8,3506,3506,3512.39,3697.95,2702.2,222,779750.25,54
23/01/2020,EQ,3520,3520,3493.35,3512.6,3508.9,3506.8,3506.44,3697.95,2702.2,193,676743.3,68
22/01/2020,EQ,3472.35,3515,3472.35,3492.95,3510.05,3512.6,3498.1,3697.95,2702.2,261,913004.85,64
21/01/2020,EQ,3516,3543.85,3487,3511.35,3491.1,3492.95,3513.6,3697.95,2702.2,443,1556525.65,105
20/01/2020,EQ,3492,3520,3488,3492,3511,3511.35,3508.46,3697.95,2702.2,303,1063062.5,99
17/01/2020,EQ,3489,3509.9,3485.15,3494.2,3492,3492,3498.22,3697.95,2702.2,478,1672147.6,106
16/01/2020,EQ,3485.5,3497.95,3480.65,3485.3,3494.9,3494.2,3490.43,3697.95,2702.2,258,900530.8,64
15/01/2020,EQ,3467.05,3490,3467.05,3457.35,3489.95,3485.3,3484.41,3697.95,2702.2,295,1027900,69
14/01/2020,EQ,3440,3468.95,3436,3479.25,3467,3457.35,3455.92,3697.95,2702.2,572,1976786.9,128
13/01/2020,EQ,3497,3497,3471.05,3474.9,3479.55,3479.25,3482,3697.95,2702.2,995,3464592.15,119
10/01/2020,EQ,3495,3538,3455.55,3494.85,3475,3474.9,3475.16,3697.95,2702.2,3343,11617459.6,244
09/01/2020,EQ,3526,3597.95,3485,3597.95,3495.25,3494.85,3509.86,3697.95,2702.2,1328,4661098.4,242
08/01/2020,EQ,3575.5,3686.85,3575.5,3552.7,3593,3597.95,3624.23,3697.95,2702.2,2360,8553192.8,353
07/01/2020,EQ,3600,3600,3502,3603.15,3557.9,3552.7,3561.02,3697.95,2702.2,1985,7068634.4,258
06/01/2020,EQ,3600.7,3697.95,3575,3530.1,3590.95,3603.15,3638.5,3697.95,2702.2,4615,16791678.25,700
03/01/2020,EQ,3464.05,3545,3464.05,3440.35,3535,3530.1,3518.38,3545,2702.2,797,2804149.5,184
02/01/2020,EQ,3478.95,3521.95,3432.25,3473.8,3439.9,3440.35,3464.26,3521.95,2702.2,752,2605126.65,180
01/01/2020,EQ,3437.1,3488,3420,3438.1,3483.95,3473.8,3458.44,3500,2702.2,346,1196619.05,121
31/12/2019,EQ,3418.5,3458.45,3414,3414,3439.2,3438.1,3436.78,3500,2702.2,240,824827.95,77
30/12/2019,EQ,3409.95,3448.5,3401.05,3399.7,3415,3414,3418.58,3500,2702.2,280,957201.2,102
27/12/2019,EQ,3416,3416,3383.05,3394.1,3396,3399.7,3396.8,3500,2702.2,292,991866.25,75
26/12/2019,EQ,3409,3416,3370.05,3371.65,3397.4,3394.1,3392.6,3500,2702.2,348,1180623.2,103
24/12/2019,EQ,3377.95,3390,3345,3349.25,3371.45,3371.65,3374.29,3500,2702.2,244,823326.9,117
23/12/2019,EQ,3341,3364,3333.35,3341,3359,3349.25,3352.3,3500,2702.2,279,935292.1,88
20/12/2019,EQ,3348.6,3383.95,3335.05,3348.6,3341,3341,3355.78,3500,2702.2,59,197991.2,36
19/12/2019,EQ,3346,3355,3307,3346.8,3340,3348.6,3335.49,3500,2702.2,144,480310.9,54
18/12/2019,EQ,3332.75,3350.05,3329.1,3332.75,3346.8,3346.8,3342.7,3500,2702.2,129,431207.85,44
17/12/2019,EQ,3341.9,3341.9,3317.05,3324.9,3329.8,3332.75,3326.31,3500,2702.2,201,668587.75,39
16/12/2019,EQ,3328.5,3349,3314.1,3321,3324.3,3324.9,3329.86,3500,2702.2,88,293027.8,35
13/12/2019,EQ,3316.55,3339,3300.35,3316.55,3321.05,3321,3317.29,3500,2702.2,219,726485.75,33
12/12/2019,EQ,3343,3343,3311,3306.4,3311,3316.55,3320.23,3500,2702.2,55,182612.55,33
11/12/2019,EQ,3310,3327.95,3301,3308.2,3309.1,3306.4,3307.51,3500,2702.2,329,1088170.2,51
10/12/2019,EQ,3320,3320,3302.55,3307.75,3305,3308.2,3311.24,3500,2702.2,126,417216,42
09/12/2019,EQ,3343,3349,3302,3343.25,3320,3307.75,3318.87,3500,2702.2,488,1619607.9,196
06/12/2019,EQ,3358,3370,3328.4,3358,3351.9,3343.25,3342.3,3500,2700,308,1029428.85,74
05/12/2019,EQ,3350.1,3376.95,3340.55,3370.4,3358,3358,3355.3,3500,2700,169,567045.85,59
04/12/2019,EQ,3341,3400,3341,3334.6,3360,3370.4,3376.04,3500,2700,519,1752167,93
