,DATE,SERIES,OPEN,HIGH,LOW,PREV_CLOSE,LTP,CLOSE,VWAP,52W_H,52W_L,VOLUME,VALUE,NO_OF_TRADES
18,21/07/2020,EQ,440.0,451.0,438.5,434.0,445.9,446.2,444.56,765.85,286.0,43147781,19181792034,575785
19,20/07/2020,EQ,437.7,442.8,429.3,433.1,434.55,434.0,435.38,765.85,286.0,30400830,13236004375,266406
20,17/07/2020,EQ,434.0,439.9,424.6,434.0,434.5,433.1,431.92,765.85,286.0,33465094,14454278423,263202
21,16/07/2020,EQ,431.95,436.15,418.45,426.65,432.0,434.0,426.78,765.85,286.0,30183798,12881755479,234710
22,15/07/2020,EQ,424.0,444.45,422.75,417.7,429.0,426.65,434.49,765.85,286.0,43250557,18791936051,335522
23,14/07/2020,EQ,434.9,435.8,415.4,440.05,418.5,417.7,422.06,765.85,286.0,25686686,10841270034,264579
24,13/07/2020,EQ,443.95,446.4,432.75,439.6,441.0,440.05,439.02,765.85,286.0,21326996,9363067007,240240
25,10/07/2020,EQ,449.9,451.45,437.0,453.75,439.4,439.6,443.12,803.65,286.0,25676461,11377760890,322643
26,09/07/2020,EQ,447.85,457.0,446.05,444.15,453.8,453.75,452.36,803.65,286.0,29162682,13191984723,248173
27,08/07/2020,EQ,450.0,461.4,441.0,447.35,444.0,444.15,450.01,803.65,286.0,45878605,20645690226,393904
28,07/07/2020,EQ,433.5,449.0,426.2,434.0,445.95,447.35,438.58,803.65,286.0,37991906,16662653743,329598
29,06/07/2020,EQ,434.15,437.6,431.1,428.45,433.75,434.0,434.51,803.65,286.0,18425359,8006028768,181904
30,03/07/2020,EQ,430.0,431.6,423.65,423.2,429.0,428.45,427.75,819.0,286.0,31044470,13279294778,252003
31,02/07/2020,EQ,441.0,441.5,421.3,433.25,424.8,423.2,427.8,819.0,286.0,50362840,21545048662,402398
32,01/07/2020,EQ,410.0,437.35,406.65,406.65,432.45,433.25,423.3,819.0,286.0,53380997,22595986443,424141
33,30/06/2020,EQ,410.0,414.8,404.05,404.8,407.3,406.65,409.15,819.0,286.0,26951992,11027436265,233118
34,29/06/2020,EQ,415.0,415.8,402.35,424.85,404.9,404.8,406.79,819.0,286.0,36320111,14774477512,333423
35,26/06/2020,EQ,426.0,428.75,418.0,421.7,426.0,424.85,422.8,819.0,286.0,32611425,13788148358,233244
36,25/06/2020,EQ,419.0,428.7,410.35,424.65,418.9,421.7,420.13,819.0,286.0,49854504,20945422956,356209
37,24/06/2020,EQ,448.0,448.5,422.2,443.65,425.4,424.65,435.17,819.0,286.0,33577340,14611725285,304342
38,23/06/2020,EQ,430.5,445.0,430.4,430.15,444.4,443.65,437.78,819.0,286.0,30757921,13465266735,304611
39,22/06/2020,EQ,420.0,435.9,418.1,417.05,430.25,430.15,428.96,819.0,286.0,40454158,17353191743,374532
40,19/06/2020,EQ,407.5,422.3,407.5,405.4,417.15,417.05,416.47,819.0,286.0,52085893,21692374592,428871
41,18/06/2020,EQ,386.0,408.05,384.0,389.6,404.75,405.4,396.48,819.0,286.0,43774453,17355819369,352937
42,17/06/2020,EQ,377.45,397.75,375.3,381.55,388.6,389.6,389.74,819.0,286.0,56950626,22195731334,458252
43,16/06/2020,EQ,404.9,405.0,360.4,389.6,380.2,381.55,379.88,819.0,286.0,96190274,36540659423,781976
44,15/06/2020,EQ,405.95,405.95,383.65,408.0,389.7,389.6,391.5,819.0,286.0,39578304,15494782437,383057
45,12/06/2020,EQ,390.0,412.5,389.15,413.45,406.6,408.0,401.3,823.4,286.0,47814513,19188023908,425792
46,11/06/2020,EQ,426.5,435.55,408.7,427.45,414.45,413.45,422.03,823.4,286.0,45563053,19229027331,394557
47,10/06/2020,EQ,422.2,432.7,415.3,420.05,431.95,427.45,421.1,823.4,286.0,36163767,15228461323,306681
48,09/06/2020,EQ,434.95,442.5,416.5,430.25,417.7,420.05,431.03,823.4,286.0,46274196,19945664783,377255
49,08/06/2020,EQ,415.0,444.75,414.0,405.3,431.7,430.25,430.98,823.4,286.0,60387850,26025900060,574895
50,05/06/2020,EQ,399.0,409.9,390.5,394.35,408.3,405.3,399.06,827.75,286.0,39004703,15565068494,347847
51,04/06/2020,EQ,407.6,413.9,391.55,409.55,395.6,394.35,400.69,827.75,286.0,45553928,18253011394,418486
52,03/06/2020,EQ,422.0,432.0,405.25,410.1,407.6,409.55,423.47,827.75,286.0,49057169,20774240921,435889
53,02/06/2020,EQ,398.0,415.0,391.55,396.95,414.7,410.1,402.42,827.75,286.0,37509637,15094772088,351376
54,01/06/2020,EQ,394.3,409.5,392.55,384.95,396.2,396.95,401.8,827.75,286.0,44253432,17780811924,379354
55,29/05/2020,EQ,382.0,389.25,375.35,390.95,381.9,384.95,382.92,827.75,286.0,51056884,19550472220,470861
56,28/05/2020,EQ,390.0,407.65,387.0,387.0,390.9,390.95,397.78,827.75,286.0,72694994,28916322405,644499
57,27/05/2020,EQ,346.1,392.45,341.5,341.3,389.9,387.0,368.94,827.75,286.0,72445794,26728053127,587020
58,26/05/2020,EQ,342.0,347.7,336.35,336.95,341.5,341.3,342.07,827.75,286.0,30693404,10499375858,305066
59,22/05/2020,EQ,352.1,359.75,332.85,357.2,338.6,336.95,342.8,827.75,286.0,48368474,16580921549,475509
60,21/05/2020,EQ,363.0,369.0,355.7,362.5,357.0,357.2,362.97,827.75,286.0,24794934,8999751915,250995
61,20/05/2020,EQ,353.0,366.3,350.0,354.5,364.95,362.5,357.71,827.75,286.0,30722038,10989712101,325563
62,19/05/2020,EQ,368.8,372.5,350.1,358.8,355.5,354.5,361.09,827.75,286.0,42889862,15487075435,423289
63,18/05/2020,EQ,389.0,389.0,352.3,388.55,361.2,358.8,364.05,827.75,286.0,47864793,17424989344,460935
64,15/05/2020,EQ,402.75,403.9,386.8,401.95,388.8,388.55,391.48,827.75,286.0,25435045,9957298069,274054
65,14/05/2020,EQ,405.05,411.0,397.65,414.0,402.75,401.95,404.7,827.75,286.0,31604457,12790277048,301403
66,13/05/2020,EQ,411.0,416.45,399.6,386.85,413.95,414.0,408.97,827.75,286.0,48206377,19714947612,493525
67,12/05/2020,EQ,376.3,391.8,370.0,379.55,386.2,386.85,378.16,827.75,286.0,38411667,14525742513,379557
68,11/05/2020,EQ,391.0,393.5,376.85,382.05,380.5,379.55,384.22,827.75,286.0,30143521,11581674465,335987
69,08/05/2020,EQ,403.5,409.45,379.65,397.35,383.0,382.05,395.91,827.75,286.0,33506610,13265518231,353592
70,07/05/2020,EQ,387.0,402.25,382.7,388.85,398.5,397.35,394.83,827.75,286.0,41339427,16321878962,482183
71,06/05/2020,EQ,385.0,394.45,368.05,389.0,393.5,388.85,382.18,827.75,286.0,67511657,25801559407,701599
72,05/05/2020,EQ,414.0,418.75,386.5,402.8,389.5,389.0,400.46,827.75,286.0,50982763,20416434073,558582
73,04/05/2020,EQ,424.0,424.0,399.7,444.9,407.0,402.8,409.68,827.75,286.0,37854079,15508137974,484430
74,30/04/2020,EQ,451.0,461.9,440.4,439.1,444.05,444.9,452.72,827.75,286.0,40383418,18282508001,419141
75,29/04/2020,EQ,430.75,448.85,425.95,455.45,438.85,439.1,438.97,827.75,286.0,61500039,26996643971,676631
76,28/04/2020,EQ,438.0,458.4,435.25,427.3,457.5,455.45,446.31,827.75,286.0,43938651,19610096248,471905
77,27/04/2020,EQ,415.0,429.5,409.1,403.95,426.1,427.3,422.19,827.75,286.0,35987021,15193308501,381495
78,24/04/2020,EQ,416.0,419.65,401.25,430.05,406.0,403.95,410.4,827.75,286.0,35773432,14681461718,351689
79,23/04/2020,EQ,434.6,439.85,426.05,431.15,428.9,430.05,433.0,827.75,286.0,29418033,12738047174,338254
80,22/04/2020,EQ,418.55,434.55,412.0,420.65,433.5,431.15,424.5,827.75,286.0,36619626,15544912530,407478
81,21/04/2020,EQ,436.0,439.95,412.95,455.95,419.65,420.65,421.92,827.75,286.0,33572228,14164915159,389708
82,20/04/2020,EQ,482.0,483.45,451.25,478.8,453.0,455.95,465.65,827.75,286.0,42163860,19633635484,508117
83,17/04/2020,EQ,450.0,485.9,432.4,422.55,481.4,478.8,447.62,827.75,286.0,47831855,21410639337,501888
84,16/04/2020,EQ,408.6,427.0,400.7,417.3,426.0,422.55,415.38,827.75,286.0,42344581,17588972545,490756
85,15/04/2020,EQ,434.0,451.65,412.45,418.95,418.0,417.3,434.36,827.75,286.0,48315084,20986240303,482534
86,13/04/2020,EQ,417.95,427.9,402.0,420.15,420.0,418.95,414.15,827.75,286.0,33432493,13846137202,423296
87,09/04/2020,EQ,405.0,423.0,398.65,391.35,420.0,420.15,409.23,827.75,286.0,44090829,18043123262,470749
88,08/04/2020,EQ,383.75,427.7,373.5,388.85,391.4,391.35,396.73,827.75,286.0,64930772,25759745935,769506
89,07/04/2020,EQ,347.4,405.75,342.35,325.45,391.0,388.85,367.02,827.75,286.0,48093870,17651518767,522716
90,03/04/2020,EQ,360.2,362.3,324.0,358.65,326.9,325.45,343.1,827.75,286.0,41317685,14176180304,407312
91,01/04/2020,EQ,376.25,379.8,354.0,379.0,355.5,358.65,366.41,827.75,286.0,27745001,10166036367,334884
92,31/03/2020,EQ,384.4,389.8,372.65,368.15,378.5,379.0,379.67,827.75,286.0,34637418,13150697519,380850
93,30/03/2020,EQ,345.0,382.0,340.35,359.75,368.2,368.15,364.35,827.75,286.0,61772934,22506973341,661071
94,27/03/2020,EQ,370.0,409.45,354.05,341.4,362.5,359.75,378.88,827.75,286.0,71043359,26917173675,990737
95,26/03/2020,EQ,335.95,399.0,332.0,326.8,346.0,341.4,362.99,827.75,286.0,62971676,22857867050,746077
96,25/03/2020,EQ,293.5,363.75,286.0,303.15,331.5,326.8,319.6,827.75,286.0,51994332,16617292695,741163
97,24/03/2020,EQ,331.95,337.5,291.0,308.65,304.8,303.15,311.41,827.75,291.0,50683611,15783135040,767331
98,23/03/2020,EQ,385.35,392.0,302.0,428.15,310.0,308.65,333.19,827.75,302.0,37622791,12535636891,563041
99,20/03/2020,EQ,431.4,449.7,414.2,428.25,425.0,428.15,429.91,827.75,392.1,30764380,13225993442,389335
100,19/03/2020,EQ,441.05,464.95,423.75,473.45,428.0,428.25,440.66,827.75,392.1,33244422,14649492449,397399
101,18/03/2020,EQ,490.0,506.05,392.1,488.35,484.15,473.45,456.43,827.75,392.1,36268578,16553976056,495613
102,17/03/2020,EQ,515.15,531.3,477.45,508.6,485.65,488.35,511.9,827.75,451.1,20594426,10542219836,251239
103,16/03/2020,EQ,542.35,545.0,502.35,568.8,510.9,508.6,521.82,827.75,451.1,21543626,11241882828,329445
104,13/03/2020,EQ,516.95,585.65,451.1,543.25,578.5,568.8,541.99,827.75,451.1,25599380,13874621210,305539
105,12/03/2020,EQ,592.0,594.0,528.15,619.35,545.1,543.25,556.85,827.75,528.15,29369628,16354352650,265199
106,11/03/2020,EQ,613.65,634.4,612.1,623.55,620.0,619.35,623.09,827.75,612.1,11021533,6867366598,171462
107,09/03/2020,EQ,639.0,641.85,615.1,657.65,623.6,623.55,629.4,827.75,615.1,14336439,9023367392,182268
108,06/03/2020,EQ,650.0,660.8,641.05,677.9,658.2,657.65,653.41,827.75,622.65,12969235,8474220113,220341
109,05/03/2020,EQ,686.5,694.0,675.25,682.2,677.75,677.9,685.27,827.75,622.65,10508008,7200857698,145360
110,04/03/2020,EQ,690.0,696.0,668.3,687.15,681.0,682.2,682.4,827.75,622.65,14802724,10101385709,229199
111,03/03/2020,EQ,689.9,695.8,675.0,684.2,689.8,687.15,685.67,827.75,622.65,11198145,7678190334,161760
112,02/03/2020,EQ,709.3,713.25,675.3,697.3,687.0,684.2,695.97,827.75,622.65,13854352,9642189508,177926
113,28/02/2020,EQ,718.9,724.7,691.0,735.85,701.0,697.3,705.99,827.75,622.65,16428944,11598725371,184431
114,27/02/2020,EQ,728.7,739.45,716.55,729.4,737.3,735.85,728.51,827.75,622.65,8867328,6459909083,157080
115,26/02/2020,EQ,725.3,735.75,722.0,728.75,728.3,729.4,729.54,827.75,622.65,7136975,5206673235,115827
116,25/02/2020,EQ,729.4,732.0,722.05,725.45,730.0,728.75,728.05,827.75,622.65,5419596,3945756047,86168
117,24/02/2020,EQ,737.95,738.4,723.0,744.3,725.5,725.45,731.78,827.75,622.65,6589087,4821794273,114364
118,20/02/2020,EQ,742.75,754.0,737.6,741.05,745.5,744.3,747.21,827.75,622.65,7529403,5626055289,126586
119,19/02/2020,EQ,740.65,745.1,735.35,733.65,741.5,741.05,740.45,827.75,622.65,4372673,3237737223,85398
120,18/02/2020,EQ,737.75,737.75,724.7,738.4,735.5,733.65,730.59,827.75,622.65,5215502,3810389731,83149
121,17/02/2020,EQ,737.4,743.1,730.2,736.5,738.5,738.4,736.29,827.75,622.65,4275465,3147981076,68454
