,DATE,SERIES,OPEN,HIGH,LOW,PREV_CLOSE,LTP,CLOSE,VWAP,52W_H,52W_L,VOLUME,VALUE,NO_OF_TRADES
23,14/07/2020,EQ,34.4,34.45,33.4,34.55,33.55,33.55,33.67,76.15,26.3,22089308,743690835.9,70771
24,13/07/2020,EQ,35.4,35.45,34.3,35.05,34.55,34.55,34.73,76.15,26.3,28823774,1001003739.0,74800
25,10/07/2020,EQ,35.85,36.1,34.6,37.1,35.15,35.05,35.18,77.95,26.3,101790235,3581405880.0,150645
26,09/07/2020,EQ,37.8,38.0,36.85,37.25,37.15,37.1,37.33,77.95,26.3,38094386,1421954962.0,62239
27,08/07/2020,EQ,36.65,38.75,36.6,36.8,37.2,37.25,38.03,77.95,26.3,81536986,3100557725.0,115897
28,07/07/2020,EQ,37.3,37.35,36.1,37.1,36.75,36.8,36.62,77.95,26.3,33770528,1236605085.0,53431
29,06/07/2020,EQ,36.25,37.3,36.0,35.95,37.1,37.1,36.72,77.95,26.3,36393791,1336330443.0,54247
30,03/07/2020,EQ,36.5,36.55,35.8,36.25,35.85,35.95,36.08,83.4,26.3,19474835,702749309.1,32698
31,02/07/2020,EQ,36.6,37.05,36.1,36.4,36.3,36.25,36.52,83.4,26.3,26984207,985436286.2,49536
32,01/07/2020,EQ,35.0,36.55,34.5,34.75,36.45,36.4,35.77,83.4,26.3,39414255,1409809546.0,70268
33,30/06/2020,EQ,35.8,36.15,34.55,35.35,34.8,34.75,35.28,83.4,26.3,22906506,808157340.9,52514
34,29/06/2020,EQ,36.2,36.4,35.15,36.6,35.3,35.35,35.57,83.4,26.3,29070144,1033959375.0,53700
35,26/06/2020,EQ,37.65,37.95,36.4,37.1,36.65,36.6,37.03,83.4,26.3,37646225,1393925615.0,85937
36,25/06/2020,EQ,36.3,37.6,35.55,36.5,37.5,37.1,36.46,83.4,26.3,57453358,2094758085.0,99162
37,24/06/2020,EQ,38.0,38.4,36.25,37.45,36.5,36.5,37.46,83.4,26.3,70621046,2645435575.0,138522
38,23/06/2020,EQ,36.0,37.9,35.9,35.8,37.45,37.45,37.33,83.4,26.3,83932724,3133146538.0,156816
39,22/06/2020,EQ,35.85,36.0,35.0,34.5,35.85,35.8,35.46,83.4,26.3,89827765,3185281317.0,149133
40,19/06/2020,EQ,34.5,34.65,33.9,33.9,34.5,34.5,34.41,83.4,26.3,47810394,1645011907.0,131098
41,18/06/2020,EQ,33.1,34.2,32.9,33.15,34.05,33.9,33.65,83.4,26.3,41943348,1411547487.0,93578
42,17/06/2020,EQ,32.9,33.9,32.5,33.15,33.1,33.15,33.24,83.4,26.3,48130067,1599641089.0,76206
43,16/06/2020,EQ,34.5,34.85,31.9,33.65,33.15,33.15,33.29,83.4,26.3,62033451,2064972548.0,90901
44,15/06/2020,EQ,33.0,34.15,32.05,33.05,33.55,33.65,33.1,83.4,26.3,50674765,1677430780.0,91219
45,12/06/2020,EQ,31.0,33.2,30.9,32.8,33.0,33.05,32.15,83.4,26.3,51628669,1659627485.0,96015
46,11/06/2020,EQ,34.5,35.2,32.55,33.85,32.8,32.8,33.96,83.4,26.3,97140495,3299232374.0,159643
47,10/06/2020,EQ,32.0,34.1,31.65,31.8,34.05,33.85,33.02,83.4,26.3,83661053,2762226083.0,125300
48,09/06/2020,EQ,33.0,33.5,31.5,32.6,31.75,31.8,32.51,83.4,26.3,63890506,2076847484.0,90210
49,08/06/2020,EQ,35.5,35.5,32.25,33.75,32.6,32.6,33.74,83.4,26.3,103769333,3501556677.0,154914
50,05/06/2020,EQ,31.5,34.1,31.4,31.0,34.05,33.75,32.58,83.9,26.3,96121246,3131183862.0,128631
51,04/06/2020,EQ,29.95,32.6,29.7,30.25,31.1,31.0,31.48,83.9,26.3,127140495,4002360736.0,184024
52,03/06/2020,EQ,29.8,31.6,29.6,29.25,30.2,30.25,30.61,83.9,26.3,86256504,2640656100.0,108522
53,02/06/2020,EQ,29.3,29.7,28.6,29.2,29.25,29.25,29.21,83.9,26.3,40252959,1175592631.0,52110
54,01/06/2020,EQ,27.4,30.1,27.0,26.75,29.0,29.2,28.59,83.9,26.3,72825432,2082390794.0,78887
55,29/05/2020,EQ,26.65,27.35,26.35,26.75,26.65,26.75,26.84,91.2,26.3,35144094,943275174.3,43937
56,28/05/2020,EQ,27.6,27.9,26.6,27.5,26.8,26.75,27.16,91.2,26.3,41841614,1136248115.0,71246
57,27/05/2020,EQ,26.7,27.65,26.55,26.7,27.5,27.5,27.09,91.2,26.3,27038152,732348412.9,36828
58,26/05/2020,EQ,26.8,27.05,26.45,26.65,26.7,26.7,26.76,91.2,26.3,17287019,462576830.7,27128
59,22/05/2020,EQ,26.7,27.65,26.4,27.0,26.65,26.65,26.94,91.2,26.3,27657300,745100228.5,45017
60,21/05/2020,EQ,26.6,27.65,26.3,26.6,26.9,27.0,27.2,91.2,26.3,26590285,723198837.3,46001
61,20/05/2020,EQ,26.6,26.9,26.3,26.6,26.55,26.6,26.65,91.2,26.3,17212634,458736183.3,29716
62,19/05/2020,EQ,27.6,27.75,26.5,27.35,26.6,26.6,27.07,91.2,26.5,25290958,684642501.8,47970
63,18/05/2020,EQ,28.9,28.95,26.75,28.8,27.45,27.35,27.49,91.2,26.75,28520480,783919405.3,56142
64,15/05/2020,EQ,29.3,29.6,28.6,29.3,28.8,28.8,29.03,91.2,27.9,18837162,546837490.0,31092
65,14/05/2020,EQ,30.15,30.55,29.1,30.6,29.4,29.3,29.85,91.2,27.9,22669990,676719982.9,36716
66,13/05/2020,EQ,30.3,31.0,29.45,28.7,30.8,30.6,30.32,91.2,27.9,38941649,1180619606.0,52744
67,12/05/2020,EQ,28.5,29.2,27.9,28.8,28.7,28.7,28.4,91.2,27.9,21778060,618405826.9,37967
68,11/05/2020,EQ,29.4,29.5,28.7,29.2,28.8,28.8,29.02,91.2,28.05,16325208,473748974.3,26633
